age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,63283119,22166875,41116244,18312405,44970714,46401040,16882079
6-10',4619309,3331401,1287908,1639587,2979722,535695,4083614
11-14',3834081,3624151,209930,2929258,904823,1982515,1851566
15 - 19,5001174,3926487,1074687,3801827,1199347,4475823,525351
20 - 24,5245855,2324311,2921544,2180208,3065647,4715432,530423
25 - 29,5244627,2057145,3187482,1849606,3395021,4712272,532355
30 - 34,5315731,1901844,3413887,1685169,3630562,4773970,541761
35 - 39,5408433,1546867,3861566,1328287,4080145,4742275,666158
40 - 49,10910100,2051619,8858481,1723326,9186774,9308293,1601807
50 - 59,8891829,1168127,7723702,983901,7907928,7041275,1850554
60 years and over,8811980,234923,8577057,191234,8620746,4113490,4698490
