age,Total,Computer using,Computer do not using,Internet using,Internet do not using,Mobile using,Mobile do not using
Total,62286730,23771341,38515389,21729382,40557348,48065641,14221089
6 - 10',4073045,3077205,995840,1531612,2541433,526151,3546894
11 - 14',3526800,3377843,148957,2894826,631974,1906675,1620125
15 - 19,4740583,3817215,923368,3853478,887105,4335071,405512
20 - 24,4888407,2646415,2241992,2857694,2030713,4604830,283577
25 - 29,4777342,2340534,2436808,2486751,2290591,4460217,317125
30 - 34,5034831,2209167,2825664,2271810,2763021,4695013,339818
35 - 39,5392882,1940488,3452394,1909587,3483295,4948359,444523
40 - 49,10989723,2545838,8443885,2336079,8653644,9813507,1176216
50 - 59,9022516,1411340,7611176,1266751,7755765,7520092,1502424
60 years and over,9840601,405296,9435305,320795,9519806,5255727,4584874
